quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2025Q3_PRE_ALIGNED,447,8041.T,ＯＵＧホールディングス,卸売業,0.7705806406892335,26.966703256494682,7.596899224806197,11.546638810883437,19.94058670627552,0.6194148788309704,16.691957511380885,50.0,97.88434414668548,80.0,3470.0,6470,26.96670325649468,2025-06-30,2025-06-30,5.1,5.1,26.3,5.1,5.1,medium,medium,low,low,low,"3385栋E楼
株伍指标
予想PER
（倍）
<26.3>
5.1
<27.3>
5.0
实PER
高值平均
4.4
安值平均
3.4
PBR
0.47
株倡(5/28)
3120m
最低購人额
25
13.6
31万2000m
他速大特
8041
卸
押色",3217.png,0.9757785467128028,0.6161271141649048,0.7329968832558362,中間型,卸売業,0.0,3.0,5.1,0.7705806406892335
2025Q3_PRE_ALIGNED,493,1867.T,植木組,建設業,0.7564043851872061,19.18639951426837,10.467079347214403,11.352087148515356,21.106166560712023,0.5318711808425963,16.491228070175435,58.333333333333336,96.55681259222824,80.0,1963.0,6276,19.18639951426837,2025-06-30,2025-06-30,7.4,7.4,26.3,7.4,7.4,medium,medium,low,low,low,"2019栋E楼
株伍指标
予想PER
（倍）
<26.3>
7.4
<27.3>
4.8
实PER
高值平均
6.7
安值平均
5.0
PBR
0.43
株倡(5/28)
2
1908m
HI
最低購人额
25
6.9
19万800P
1867
建",183.png,0.9058823529411764,0.6161139006342495,0.7368465695969448,中間型,建設業,0.0,3.0,7.4,0.7564043851872061
2025Q3_PRE_ALIGNED,300,3096.T,オーシャンシステム,小売業,0.8126786754438236,18.556701030927837,8.58369098712446,7.338941201805238,17.337164750957857,0.6148479679602614,15.852682145716567,75.0,99.13793103448276,100.0,1265.0,4415,18.55670103092784,2025-06-30,2025-06-30,8.1,8.1,26.3,8.1,8.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
8.1
<27.3>
7.8
实PER
高值平均
15.5
安值平均
13.4
PBR
1.01
株福(5/28)
万
11989
CLUN
最低購人额
25
9.7
11万98009
3096",708.png,0.897239263803681,0.6249075052854123,0.792014726623161,中間型,小売業,0.0,3.0,8.1,0.8126786754438236
2025Q3_PRE_ALIGNED,455,6542.T,ＦＣホールディングス,サービス業,0.7688995469806349,17.560462670872766,11.133200795228637,12.336599773797714,20.571428571428573,0.614049526945881,15.878023133543639,75.0,92.39669421487604,65.0,1118.0,6497,17.560462670872766,2025-06-30,2025-06-30,8.4,8.4,25.6,8.4,8.4,medium,medium,low,low,low,"620
株伍指标
海正格
予想PER
（倍）
<25.6>
8.4
<26.6>
7.9
实PER
高值平均
7.4
安值平均
5.8
PBR
0-90
株倡(5/28)
5
1096P
最低購人额
25
10万9600P
6542
H",2383.png,0.8838951310861424,0.4626783826638477,0.7553933425606774,中間型,サービス業,0.0,3.0,8.4,0.7688995469806349
2025Q3_PRE_ALIGNED,110,2805.T,ヱスビー食品,食料品,0.8779595401831084,38.914027149321264,15.110611173603306,11.902301352546164,25.21588946459412,0.795305382041941,15.182113234763793,75.0,96.23824451410658,90.0,3070.0,6276,38.914027149321264,2025-06-30,2025-06-30,9.2,9.2,26.3,9.2,9.2,medium,medium,low,low,low,"株伍指标
布正校
予想PER
（倍）
<26.3>
9.2
<27.3>
88
实PER
高值平均
9.5
安值平均
7.8
PBR
0-87
株福(5/28)
9
万确群
2885
最低購人额
25
9.9
28万85009
2805
食",562.png,0.8677685950413223,0.6299947145877379,0.8693696768547576,安定進捗型,食料品,0.0,3.0,9.2,0.8779595401831084
2025Q3_PRE_ALIGNED,632,4754.T,トスネット,サービス業,0.7189020094069718,14.379622021364003,0.8695652173912993,8.329313523711518,21.07023411371238,0.7384024447126525,14.28571428571429,58.333333333333336,94.6938775510204,50.0,1392.0,6449,14.379622021364003,2025-06-30,2025-06-30,8.9,8.9,25.9,8.9,8.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.9>
8.9
<26.9>
8.5
实PER
高值平均
9.5
安值平均
89
PBR
0-81
8
株福(5/28)
JH
13999
最低購人额
25
13万99009
又速北特
4754
好",1625.png,0.8670411985018727,0.4942587209302325,0.6502775610072414,中間型,サービス業,0.0,3.0,8.9,0.7189020094069718
2025Q3_PRE_ALIGNED,400,1450.T,ＴＡＮＡＫＥＮ,建設業,0.7810888983423203,27.29754322111011,4.480955937266606,13.3364117968376,26.933333333333344,0.715024972506022,15.991471215351815,58.333333333333336,97.96918767507002,85.0,1399.0,1760,27.29754322111011,2025-06-30,2025-06-30,8.0,8.0,26.3,8.0,8.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
8'6
<27.3>
8.1
实PER
高值平均
10.0
安值平均
6.5
PBR
1.43
株倡(5/28)
1355F
1万样
最低購人额
20.7
13万55009
1450
建",58.png,0.8529411764705882,0.6130153276955602,0.7507712516336983,中間型,建設業,0.0,3.0,8.0,0.7810888983423203
2025Q3_PRE_ALIGNED,167,4507.T,塩野義製薬,医薬品,0.8587824657356591,28.246541802092185,15.494211932324141,9.91931516427831,14.222941720629056,0.6032080772846227,15.1625042495242,75.0,97.5677001228386,100.0,2594.0,6533,28.246541802092185,2025-06-30,2025-06-30,11.3,11.3,26.3,11.3,11.3,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
11.3
<27.3>
10.0
实PER
高值平均
13.3
安值平均
8'6
PBR
1.49
株倡(5/28)
8
23829
E
最低購人额
25
13.1
23万82009
速神特
4507
医
精都色",1493.png,0.8271604938271605,0.6447410147991544,0.8404807272514849,中間型,医薬品,0.0,3.0,11.3,0.8587824657356591
2025Q3_PRE_ALIGNED,182,2533.T,オエノンホールディングス,食料品,0.8520547676039727,47.21485411140585,25.565610859728505,13.993390258427102,21.77985948477752,0.4623649872302914,16.43835616438356,66.66666666666666,96.02076124567473,95.0,555.0,6276,47.21485411140585,2025-06-30,2025-06-30,10.0,10.0,25.12,10.0,10.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
10.0
(26.12>
6'6
实PER
高值平均
8.6
安值平均
5.5
PBR
1.20
株倡(5/28)
495F
最低購人额
25
4万9500m
2533
食",458.png,0.8264462809917356,0.4228924418604651,0.8442125644115948,中間型,食料品,0.0,3.0,10.0,0.8520547676039727
2025Q3_PRE_ALIGNED,545,4547.T,キッセイ薬品工業,医薬品,0.7438432465791559,26.88679245283019,4.941482444733425,9.359911455598455,14.666666666666671,0.6410343931846488,15.209580838323355,50.0,94.05594405594405,65.0,4035.0,6276,26.88679245283019,2025-06-30,2025-06-30,13.2,13.2,26.3,13.2,13.2,medium,medium,low,low,low,"株伍指标
70
予想PER
（倍）
<26.3>
13.2
<27.3>
13.5
实PER
高宿平均
安值平均
PBR
0-80
株幅(5/28)
3915F
最低購人额
25
5.6
39万15009
4547
中特
医",1512.png,0.7654320987654321,0.6521273784355179,0.7000312764480241,中間型,医薬品,0.0,3.0,13.2,0.7438432465791559
